1, 3205, 3730
1, 3205, 3264
1, 3205, 3280
1, 3205, 3320
1, 3205, 3397
1, 3205, 3447
1, 3205, 3472
1, 3205, 3523
1, 3205, 3564
1, 3205, 3598
1, 3205, 3633
1, 3205, 3672
1, 3205, 4079
1, 4086, 4087
1, 4086, 83455
1, 4086, 4224
1, 4086, 4204
1, 4086, 4189
1, 4086, 4178
1, 4086, 4148
1, 4086, 4129
1, 4086, 4112
1, 4086, 83456
1, 4233, 4234
1, 4233, 4355
1, 4233, 4348
1, 4233, 4336
1, 4233, 4329
1, 4233, 4321
1, 4233, 4311
1, 4233, 4285
1, 4233, 4268
1, 4233, 4242
1, 4233, 4360
1, 4362, 4363
1, 4362, 4925
1, 4362, 4903
1, 4362, 4882
1, 4362, 4858
1, 4362, 4835
1, 4362, 4793
1, 4362, 4746
1, 4362, 4709
1, 4362, 4689
1, 4362, 4648
1, 4362, 4620
1, 4362, 4550
1, 4362, 4507
1, 4362, 4454
1, 4362, 4410
1, 4362, 4947
1, 4989, 4990
1, 4989, 5011
1, 4989, 5027
1, 4989, 5045
1, 4989, 5074
1, 4989, 5093
1, 4989, 5104
1, 4989, 5118
1, 4989, 5127
1, 5138, 5139
1, 5138, 5265
1, 5138, 5254
1, 5138, 5244
1, 5138, 5231
1, 5138, 5221
1, 5138, 5211
1, 5138, 5187
1, 5138, 5173
1, 5138, 5152
1, 5138, 5275
1, 5286, 5287
1, 5286, 5324
1, 5286, 5342
1, 5286, 5356
1, 5286, 5394
1, 5286, 5443
1, 5286, 83451
1, 5286, 83452
1, 5286, 83453
1, 5463, 5464
1, 5463, 83454
1, 5463, 5671
1, 5463, 5654
1, 5463, 5634
1, 5463, 5581
1, 5463, 5552
1, 5463, 5517
1, 5463, 5482
1, 5463, 83457
1, 5694, 5695
1, 5694, 5899
1, 5694, 5883
1, 5694, 5872
1, 5694, 5855
1, 5694, 5845
1, 5694, 5829
1, 5694, 5823
1, 5694, 5798
1, 5694, 5766
1, 5694, 5732
1, 5694, 5905
1, 5920, 5921
1, 5920, 6139
1, 5920, 6126
1, 5920, 6098
1, 5920, 6081
1, 5920, 6045
1, 5920, 6017
1, 5920, 5976
1, 5920, 5952
1, 5920, 6155
1, 6166, 6167
1, 6166, 6198
1, 6166, 6229
1, 6166, 6248
1, 6166, 6294
1, 6166, 6314
1, 6166, 6358
1, 6166, 6369
1, 6397, 6398
1, 6397, 6409
1, 6397, 6421
1, 6397, 6438
1, 6397, 6449
1, 6397, 6459
1, 6397, 6466
1, 6397, 6477
1, 6397, 6487
1, 6497, 6498
1, 6497, 6507
1, 6518, 6519
1, 6518, 6537
1, 6518, 6556
1, 6518, 6579
1, 6591, 6592
1, 6591, 6607
1, 6591, 6617
1, 6591, 6628
1, 6591, 6638
1, 6648, 6649
1, 6648, 6664
1, 6648, 6675
1, 6648, 6699
1, 6648, 6717
6728, 7240, 7241
6728, 7240, 7361
6728, 7240, 7376
6728, 7240, 7383
6728, 7240, 7392
6728, 7240, 7402
6728, 7240, 7411
6728, 7240, 7418
6728, 7240, 7425
6728, 7240, 7352
6728, 7240, 7340
6728, 7240, 7255
6728, 7240, 7271
6728, 7240, 7281
6728, 7240, 7289
6728, 7240, 7299
6728, 7240, 7312
6728, 7240, 7322
6728, 7240, 7330
6728, 7240, 7432
6728, 7438, 7439
6728, 7438, 7668
6728, 7438, 7645
6728, 7438, 7621
